"group2...group1"	"group3...group2"	"group3...group1"	"AveExpr"	"F"	"P.Value"	"adj.P.Val"
"ADRBK1"	-0.196901856	0.609961845666667	0.413059989666667	-0.324179900777778	2.47663482959449	0.14425430109038	0.177847768467591
"ULK1"	0.699799419	-0.979318155333333	-0.279518736333333	0.328446265888889	2.209120922128	0.170996959684325	0.207969275291746
"CDK9"	0.29629183275	-0.7971140025	-0.50082216975	0.328942817	1.78876257529205	0.226797073183248	0.272156487819897
"MARK2"	0.06454083825	-0.516486208166667	-0.451945369916667	0.313012284111111	1.69543889172048	0.242133987643202	0.285251947636908
"MAPK14"	-0.0977362800000001	-0.104335762166667	-0.202072042166667	0.114174023777778	1.68430473429187	0.244048888533799	0.285251947636908
"PRKCQ"	0.06026008375	-0.489297320666667	-0.429037236916667	0.290740029666667	1.3608319709182	0.308929578151352	0.356457205559252
"JAK3"	-0.9510493775	0.527550992833333	-0.423498384666667	0.0704952716666667	1.11022921797481	0.37449634083922	0.424423681768002
"DYRK1A"	0.1453783805	-0.3216258965	-0.176247516	0.151020872777778	1.10086939198733	0.37726549490489	0.424423681768002
"CDK1"	-0.09990468475	0.179733792166667	0.0798291074166667	-0.0882074553333333	0.988952575148814	0.412436986731098	0.451733991174268
"VRK1"	-0.3150476085	0.441823080666667	0.126775472166667	-0.159984383444444	0.984437974486747	0.413939621640272	0.451733991174268
"CSNK2A1"	-0.0937644685	-0.0696202131666667	-0.163384681666667	0.0879641498888889	0.976497395968784	0.416599125194047	0.451733991174268
"ICK"	-0.290923824	0.160772712333333	-0.130151111666667	0.0195313404444444	0.860181351067699	0.458108161756858	0.490830173310919
"ROCK1"	-0.16645464075	-0.0361661113333333	-0.202620752083333	0.0874832728888889	0.715829073994407	0.517047381790604	0.547461933660639
"MTOR"	0.00745923524999997	-0.0829638841666666	-0.0755046489166667	0.0420701487777778	0.272472690658247	0.768146195340653	0.801056201298178
"NEK6"	0.42983621775	-0.667600392333333	-0.237764174583333	0.0616894548888889	0.263895052453393	0.774354327921572	0.801056201298178
"PIK3CD"	-0.15820346025	0.00784696616666667	-0.150356494083333	0.0261583288888889	0.176291509950666	0.841477877921039	0.860602375146517
"GRK4"	-0.0688610777499998	0.282606946	0.21374586825	-0.162804212222222	0.1486210449748	0.864172602564157	0.87388240708735
"SRPK1"	0.01253365025	-0.0599267291666667	-0.0473930789166667	0.0324615018888889	0.108863972511795	0.898130916489861	0.898130916489861
