GN	Protein Accession #	sig126	sig127N	sig127C	sig128N	sig128C	sig129N	sig129C	sig130N	sig130C	sig131
Tubb2a	sp|Q7TMM9|TBB2A_MOUSE	66566676.3156408	67449908.1456954	65506634.4760553	72592382.7917085	55272874.5177696	54540974.1615466	61905838.1600351	83446128.3772674	81191630.0045246	93487782.7877858
Tubb2b	sp|Q9CWF2|TBB2B_MOUSE	66622298.2956633	67479445.5393351	65798258.8337322	72728110.1281326	55257104.8940297	54750633.8028659	61879982.4088103	83244875.8984113	81127031.8525994	93001829.8678087
Tubb4b	sp|P68372|TBB4B_MOUSE	67621795.054977	68756412.8558936	65892735.1870338	70597876.8052056	50170784.2924258	50675920.4040125	58538363.0380832	90428960.0820047	88309288.072418	97657640.2411714
Gm7293	tr|D3YYI5|D3YYI5_MOUSE	49114619.4508354	49364293.7687426	46697957.488747	50293521.5812339	44991863.9629123	44840279.4108277	49392776.2805413	62354829.2004814	58302151.2396123	62795894.8798773
Tubb4a	sp|Q9D6F9|TBB4A_MOUSE	59482502.4170616	60267857.8793572	57903360.2526885	60117917.0126593	40466307.1569583	41009861.865776	48453974.6995482	78501520.1235324	76311088.4735212	83530549.2237993
Tubb5	sp|P99024|TBB5_MOUSE	57711545.7595567	58890401.7526794	56792866.1041065	60605099.1484512	46114869.6988108	46352687.3947236	51364403.2439966	76796937.3605947	75649180.1340946	83260819.0021773
Pfn1	sp|P62962|PROF1_MOUSE	19676463.8684061	18423364.7998672	20170514.6841116	18216219.9321736	21248289.7337269	20196984.735059	19186909.8150589	11410235.5555777	11992585.5166722	11461921.823251
Tubb3	sp|Q9ERD7|TBB3_MOUSE	56958795.9401434	59700771.9967323	55939725.6667653	60244446.356246	40689985.2673556	42273090.8475779	49271525.6680517	79250988.3805757	76930424.3116309	84828350.0645311
Tuba1a	sp|P68369|TBA1A_MOUSE	130606408.69643	127229390.398365	131774169.143268	128350612.880449	101893892.786387	99942054.190946	117315618.112059	154154771.771806	158708885.297245	168538586.183169
Tuba1b	sp|P05213|TBA1B_MOUSE	113533743.537887	110598059.593997	114345954.447966	111595896.294859	88938610.1043451	86925208.2725279	102544707.738751	134634112.06806	138886953.961564	147321069.920897
Tuba1c	sp|P68373|TBA1C_MOUSE	113526687.022311	110522036.499064	114062676.209206	111332864.727092	88293170.34064	86168483.6680506	102100343.761299	135469310.337951	139930653.385905	148504107.471184
Ywhae	sp|P62259|1433E_MOUSE	75251034.8855929	75839708.631845	76717049.7894562	80139763.1314734	78409501.7949357	77057143.637229	81085271.8852022	88493821.1004798	87202992.2270678	88734103.5422368
Tuba4a	sp|P68368|TBA4A_MOUSE	112352015.224498	109218899.849881	112855306.654026	111059256.512302	87693508.8849925	85572666.4262326	101858991.172521	138326359.82741	142811469.736911	151030442.997382
Tuba4a	tr|A0A087WSL5|A0A087WSL5_MOUSE	40789474.5985688	39812324.8461514	38282288.0078967	38283993.5241401	27284420.454712	28079848.6820867	35435802.5895285	48716115.1951748	50341132.4362414	53419441.966173
Gm5069	tr|D3Z0Z9|D3Z0Z9_MOUSE	48858315.8623455	49297788.2181623	46028927.2556403	50414220.2046392	44684464.7677209	43916257.4641766	48653783.7901398	63842607.9010383	59096653.5924646	64111341.245819
Actg2	sp|P63268|ACTH_MOUSE	193743353.273479	194983371.525795	187451248.256915	204482397.156349	202083529.784433	190978033.043952	199983348.808382	201857446.09849	193174895.128122	202708950.639305
Gm11214	tr|V9GX06|V9GX06_MOUSE	10679195.2242083	11049565.301257	9994052.17209565	11082946.1067692	9742220.70503726	9610710.05008344	10437612.3632503	14039123.1363249	12663387.0027753	14322422.9718264
Ndufv2	sp|Q9D6J6|NDUV2_MOUSE	12123120.0188369	12679454.4554803	11374332.209776	12517337.0024435	10591954.9167166	10525825.3755628	11868144.7845277	15387308.9236819	15654229.8656402	15438634.8621457
Atp5b	sp|P56480|ATPB_MOUSE	43186981.7954393	44896864.040039	40609573.7400455	45040524.7843992	38901675.5014875	38807176.343532	43073564.53763	56457053.8491794	56386401.1399792	55526169.9048541
Hbb-b1	sp|P02088|HBB1_MOUSE	22187172.5238472	31034223.7023754	18419788.127301	20787291.0628512	18460761.4012492	12276302.019673	9064663.40584391	4754974.2874796	4674425.82942369	4556420.83456769
Eef1a1	sp|P10126|EF1A1_MOUSE	44587576.0186813	45001375.0329377	48211543.8769385	43042247.017472	51010251.7551349	54043273.572041	45198783.0015584	25367061.1639111	26062362.7223281	26402332.9161381
Hbbt1	tr|A8DUK4|A8DUK4_MOUSE	20653264.8114846	28355469.0458063	24244382.8969108	19159182.3045177	17129726.6945825	11611302.3639237	9381425.85295873	4784608.95665165	4741639.52445828	4740258.15794373
Ckb	sp|Q04447|KCRB_MOUSE	37427908.3210411	36668303.7814149	36643366.5833504	35873467.9802437	41703454.8558409	42146622.9558594	38055237.0205947	38840289.6733981	39767205.2902159	38399089.3092371
Pgk1	sp|P09411|PGK1_MOUSE	42976404.1651633	42807289.3944697	42891767.6547283	43399471.3311633	41672527.7518626	43102074.7467279	44486119.4041123	47528410.7140199	46646348.232135	45916203.1759105
Tubb6	sp|Q922F4|TBB6_MOUSE	57121548.5580558	59713766.9033766	55735163.836919	61444340.1182852	42407851.9876149	43697024.3980308	50682731.5701432	75437449.4372146	71888183.1189608	84963330.4275074
Tuba3a	sp|P05214|TBA3_MOUSE	131151446.690304	125578902.436209	131536439.161423	129085924.674939	103010349.948792	99599234.5186186	117863484.120837	152634214.004362	159077522.452075	167559615.248053
Hist1h2bb	sp|Q64475|H2B1B_MOUSE	105235735.610791	105081813.42882	97516056.6799145	95413658.0677513	158495030.972061	147102434.307039	108354994.787845	61314359.3900352	62942592.5456275	72228966.3513536
Dpysl2	sp|O08553|DPYL2_MOUSE	31289721.2277019	31867644.5431836	32220858.9489161	33271912.0600512	23421997.0119381	23790048.5159878	28279058.8104466	41661471.68815	40694186.3570845	44909172.0321125
Fabp7	sp|P51880|FABP7_MOUSE	18931037.3171855	16615390.8998527	20221398.8325767	17904756.4331265	40566019.1768906	41722481.7770411	32072478.0635588	8235870.12146743	8082139.97089923	8764145.53223063
Eno1	sp|P17182|ENOA_MOUSE	44013239.1976472	43910741.8353227	43694963.2787483	45642653.9315164	50717077.4198225	49649473.9232831	51032540.6817483	45521622.5269389	45153822.4301011	47413966.9175199
Hspa8	sp|P63017|HSP7C_MOUSE	74558157.2751419	73522264.6669429	73944361.6032945	74734183.2337303	70977677.7993672	72309973.6517123	72715839.4746024	70320248.6074522	69755294.8454614	71475109.8316702
Gfap	sp|P03995|GFAP_MOUSE	37773281.5067481	30148962.1568498	37289992.9965339	39556271.8010877	32703681.4634712	32315760.4820994	39053851.2376276	11687425.5328388	11670885.4725373	11905434.915432
Gfap	sp|P03995-2|GFAP_MOUSE	27108336.0553696	21660410.2040892	26841055.3055174	28527343.7451659	23528076.097087	23294845.8462517	28261492.4240597	8637887.46950256	8606058.75347624	8785271.94557981
Atp5k	tr|Q8BTB6|Q8BTB6_MOUSE	2251115.01747092	2281900.3856079	2152403.11018797	2013207.41209154	2138379.44983409	1986272.00306592	2432832.11740853	2597083.58393254	3087785.26766268	2698352.09958915
Hist2h2bb	sp|Q64525|H2B2B_MOUSE	105235735.610791	105047330.27757	97685055.1922289	95416463.5464343	158332089.506048	146895870.599315	108667157.469938	61381052.4691384	62985356.3945577	72344485.6068216
Glul	sp|P15105|GLNA_MOUSE	12189134.9484084	11391988.149285	11922339.5462273	12407422.3855527	10935557.8135274	11786413.1970276	13627957.1050714	14164333.462226	13986702.6768741	13536611.132764
Actbl2	sp|Q8BFZ3|ACTBL_MOUSE	101216865.120317	100786450.117305	97769071.1318167	107340093.454745	105299109.959293	99101214.9274172	103432366.712124	104946478.806879	102381508.173132	105648148.751389
Pcp4	sp|P63054|PCP4_MOUSE	3100714.60643391	4588239.66699434	3758523.76728432	3093666.54774179	1664880.91354751	1910318.22330239	2836891.54777843	5687315.23488635	6287837.89321036	4413934.93725306
Eno2	sp|P17183|ENOG_MOUSE	35165142.239761	36244088.8650121	33871724.5946001	37836674.6390133	25131452.1921265	25184397.9850081	33100681.5942079	52524496.6888212	51289997.0896082	50997008.6256111
Ppia	sp|P17742|PPIA_MOUSE	39845465.6007484	42459810.9968544	39029690.3821752	41430641.1063429	43123173.820074	45406582.5698842	40368094.4670231	44264330.84631	41723011.2681011	43451395.8352595
Arf1	sp|P84078|ARF1_MOUSE	24354914.5055157	24028269.134475	24498491.8661838	26321765.3234559	22538593.9990673	22858776.0482651	25035225.2887666	31299055.262369	31408744.1955296	30981901.9450501
Uba52	sp|P62984|RL40_MOUSE	38216530.4959612	37057221.2580338	41892014.3067751	38114078.7996444	41175514.317468	46401409.591649	38944030.8285602	36311774.1314589	38185570.3842322	37014242.1495223
Hist3h2ba	sp|Q9D2U9|H2B3A_MOUSE	104371187.252392	104131737.192601	93213156.1593569	95177398.2760157	144761676.69245	142667959.972531	108150425.936832	65069128.3758048	65826041.2613138	78743434.5578729
Hist2h2be	sp|Q64524|H2B2E_MOUSE	103954773.03521	104109348.976329	93135030.284363	95427616.5752122	145145942.676434	143756624.78591	108745376.827517	65222388.9781695	65738999.3245936	78471366.2472255
Atp6v1e1	sp|P50518|VATE1_MOUSE	9667487.83725804	9300541.69891435	9294977.28555367	10793139.8557293	7885947.56601779	8117632.61767603	9734166.55806082	14217517.3997304	13600089.080326	13818374.9257078
Tuba8	sp|Q9JJZ2|TBA8_MOUSE	75734327.0728695	72136982.0168613	76037570.6649483	74901823.5013576	59254106.3145538	57070673.834933	68225069.7634354	91052466.2315717	93824399.7982887	99182772.4912825
Nme1	sp|P15532|NDKA_MOUSE	26990767.7211939	25984706.0175556	26256949.600397	26453708.7522647	25968827.1902022	26285661.4112878	24208610.9740655	26220247.3146923	26356738.7795355	26552054.1097886
Nefl	sp|P08551|NFL_MOUSE	72098487.1704331	42132535.1117844	41945444.2499528	31897243.9319001	21154781.1193711	21428003.75575	29342376.5309769	43191107.2660287	47313067.2335809	40126932.4956755
Acta1	sp|P68134|ACTS_MOUSE	192885748.76792	194617612.209397	188367266.028126	206365091.59331	201489404.930082	189476109.670639	197309074.728804	203289044.396131	194421849.184954	204083262.855675
Fabp5	sp|Q05816|FABP5_MOUSE	12008996.8318828	10272782.4991102	10906238.0386053	8891731.81316678	12144660.4657247	12070113.0253751	11172907.0076597	4783657.36862456	5316090.58237453	4707319.19009401
Qdpr	sp|Q8BVI4|DHPR_MOUSE	10091259.7883157	9557451.14618191	10919718.7150344	9539548.48038269	6787085.63534396	7198388.22749878	8520536.48660331	9413148.64665321	10343597.2659209	9607784.3387248
Rps27a	sp|P62983|RS27A_MOUSE	38346629.5400147	37193729.9745239	41978281.0653551	38165888.3912557	41341430.7312152	46529044.0293331	39061769.916692	36146170.3641765	38018489.6867268	36982254.6394365
Polr2j	sp|O08740|RPB11_MOUSE	337033.223406499	322130.241485857	339652.733663373	282304.755133517	401671.045687991	366613.609205798	340629.503100983	196188.015351314	235059.48421506	203125.726107162
Vim	sp|P20152|VIME_MOUSE	75488523.5198043	65484026.5718905	78803020.1495411	72181240.7718443	86610710.6097975	84457973.8203263	67432440.0812541	22537040.910265	23661074.7649489	23009831.8878751
Idh3b	tr|Q91VA7|Q91VA7_MOUSE	8486573.70985998	8692144.42176708	8173570.22154445	9288266.10718174	7221086.03654902	7633154.50111401	8285705.60101792	12259743.8040432	11845872.3990205	12024744.6272443
Plp1	sp|P60202|MYPR_MOUSE	225498667.765949	163202760.145604	166706256.945569	118746038.619082	63979290.0085242	64270718.3890549	105775265.069319	145203368.802087	167407396.902797	150960343.738728
Atp5a1	sp|Q03265|ATPA_MOUSE	35415718.6869332	35695346.6037121	32498140.2963945	35639478.7445602	31337317.3975788	30849067.1860599	35491269.9468489	46427369.9314784	47116868.5364772	45848857.7120706
Dbi	sp|P31786|ACBP_MOUSE	56780332.1428475	51390463.34047	57250702.8726903	49189822.858614	69092491.6570314	66937017.4332772	64077555.9539803	26454002.6439792	27442191.0182143	28717351.5887596
Dbi	tr|Q4VWZ5|Q4VWZ5_MOUSE	56780332.1428475	51390463.34047	57250702.8726903	49189822.858614	69092491.6570314	66937017.4332772	64077555.9539803	26454002.6439792	27442191.0182143	28717351.5887596
Arf2	sp|Q8BSL7|ARF2_MOUSE	7660249.25704696	7590829.47149797	7735852.71569462	8189648.48810841	6997936.20122474	7305652.74336015	7864642.35911743	9632670.83748082	9749863.54651211	9616922.18180572
Arf2	tr|A2A6T9|A2A6T9_MOUSE	612387.441379936	608795.581166602	633901.457701007	562216.849986529	614449.952898892	599055.312263862	616365.052800814	580979.033439766	632384.014987449	600497.114440415
Snap25	sp|P60879|SNP25_MOUSE	3222798.26366044	3651142.84370326	3446570.90406753	3629122.58998132	2385611.00090931	2543416.21441838	3330967.0239161	5669441.84443754	5579655.18754778	5378669.79382143
Snap25	sp|P60879-2|SNP25_MOUSE	3229852.46337969	3589545.41578581	3437169.73109445	3594484.40030047	2480552.41657104	2598207.6902652	3345525.08933272	5463384.72772848	5513481.93980202	5362425.19316641
Hist1h3a	sp|P68433|H31_MOUSE	98506536.2261057	99565773.5591056	87947887.5338986	81672527.9890296	119242559.754575	137734939.964301	89808792.7150127	53292872.6322184	52771008.6496704	54997404.0624081
Prdx1	sp|P35700|PRDX1_MOUSE	34191623.8836282	32036004.9518619	31984846.3162614	30627100.8192997	37061732.6172199	35067982.5814557	33655669.7008332	23334661.5345518	23476136.35639	24500584.8999141
Dynlrb1	sp|P62627|DLRB1_MOUSE	1868560.29958941	1778349.91502727	1910933.21682997	1803532.78081152	1809007.67302564	1726942.65439902	1799797.93401025	1753805.91282831	1877135.21946922	1817778.74688663
H3f3c	sp|P02301|H3C_MOUSE	98591691.0446411	99119049.0745416	86923231.9092671	81063498.7082057	116672885.041153	135112612.899047	88585108.7088836	54251399.3935409	53970608.8533079	56098565.6770075
H3f3a	tr|E0CZ27|E0CZ27_MOUSE	98460112.2191603	99541867.2777664	86446100.3721094	79464514.4883601	118275472.889674	128820612.564772	86980837.8357502	54778410.8429146	55351605.055721	57937110.9734825
Hist1h3b	sp|P84228|H32_MOUSE	98092671.7958497	99644015.9881959	87848969.411288	81455197.3591559	118899371.754122	137557813.218408	89435176.2983157	53660432.5796115	52892588.9911573	55207426.5571152
Gm10108	tr|G3UWG1|G3UWG1_MOUSE	24819222.8197371	25344791.3283037	22680519.5563698	23981640.6035254	20583694.0330718	20301216.2313594	23016931.1216686	32390911.8522911	31646150.7118567	30178448.9951266
Pebp1	sp|P70296|PEBP1_MOUSE	22772884.8916011	21418360.535712	21850154.0376808	21968680.0846048	27860163.6487327	26506199.6326873	25319471.4710221	21893702.8364721	22129823.9276602	21036404.2552584
Vdac1	sp|Q60932|VDAC1_MOUSE	43982370.6906185	46343690.5310241	43580485.9567115	48384119.8120192	38533703.2931293	38621416.4530166	46800054.4761743	64834727.6836328	63804170.4563779	64233460.4762674
Hnrnpm	sp|Q9D0E1|HNRPM_MOUSE	5213141.06592202	5420242.25159132	5296867.82690516	5074378.12684798	6363064.27241687	6385863.34448203	5051739.90107811	3568374.67289019	3708115.69544757	3768334.57044654
Hist2h2aa1	sp|Q6GSS7|H2A2A_MOUSE	101464568.17295	81318528.1949205	78250674.8203645	88909913.2850497	127360117.75611	137338673.500682	104101145.908784	60006176.6178496	61617496.3211495	60313456.9406353
Hist3h2a	sp|Q8BFU2|H2A3_MOUSE	102239920.013469	81092813.3833497	78476145.9717422	88733437.7785796	128631217.54902	138103808.248225	104119871.841287	59705409.4062754	61198784.319546	60033765.008862
Hnrnpa2b1	sp|O88569|ROA2_MOUSE	9753564.57377927	9685298.0033095	9441498.16519698	9651545.59682934	11238953.8354485	10966979.4145955	9418657.35609829	8636219.0561405	8672325.07809097	8925960.94952009
Hnrnpa2b1	sp|O88569-3|ROA2_MOUSE	9736057.52376727	9679205.04706795	9412842.17993692	9616532.96187629	11154183.4108532	10896938.9870367	9410952.85648373	8689279.60328538	8744487.29255883	8981956.92210354
Aldoa	sp|P05064|ALDOA_MOUSE	55725953.3680672	55015077.8315909	57349604.0372152	64199824.9092017	49029298.1235329	50223470.4787527	56294454.2933661	73954517.8932671	73159713.0795218	75337537.2028797
Aldoa	tr|A6ZI44|A6ZI44_MOUSE	55751265.1047093	55052283.8202399	57377999.9333785	64211182.1374956	49076861.4493996	50264850.4463039	56300013.0941676	73860884.4120111	73071477.775312	75246349.6232773
Aldoa	tr|D3YWI1|D3YWI1_MOUSE	47749556.9140532	47135651.1004904	48888784.3190382	51720517.9170352	43627231.1001538	42967484.0738285	48755001.2146547	60763229.5321517	60892976.1951607	62139910.0065986
Calm1	sp|P62204|CALM_MOUSE	23944888.0834057	24390044.5845099	27520306.097884	27865542.0591928	19529649.4457101	25746792.074085	26393752.3888464	44784352.1153247	44294561.2049951	37179586.1891986
Vsnl1	sp|P62761|VISL1_MOUSE	12060041.7598042	11766900.7263146	10452167.6255975	12508746.0069931	7985187.37726584	8805849.90469013	10911599.9054199	20346079.2282925	20171398.9259633	21170758.034514
Synpo	sp|Q8CC35|SYNPO_MOUSE	1772962.75651642	1974673.50136512	1728057.93032551	2126716.18489109	2043469.89058798	1802081.68188131	1970355.96744679	5003114.18930938	4820935.93506347	4052728.00096983
Synpo	sp|Q8CC35-2|SYNPO_MOUSE	1790444.84517529	1986817.52159701	1752362.43030182	2134768.15898932	2050784.05574264	1828603.51976031	2006733.71681891	4850328.98009464	4700171.72588466	3996362.79452897
Mrps35	sp|Q8BJZ4|RT35_MOUSE	360433.275293816	361639.757829101	367563.631843711	375938.263834833	441690.418532459	462779.95474488	411724.114801094	367053.021641476	380051.530907864	362931.588659736
haemaglobin	tr|Q91VB8|Q91VB8_MOUSE	33561453.2633536	43861935.9000284	29342294.1247614	32920604.254878	27610542.112558	18741366.860452	13125582.3153102	6696847.81321036	6551988.08692067	6619384.49181625
Snca	sp|O55042|SYUA_MOUSE	15138554.7322894	14022068.4826594	15788201.6107493	20235514.317706	12495516.2569839	11971416.9344947	17889627.7013094	28974409.6067228	27811617.7368515	28383922.2352429
Rps15	sp|P62843|RS15_MOUSE	2564316.99273714	2634393.22894659	2800720.20429966	2631028.43252028	2997621.46617984	3096205.36190356	2594989.66005219	1768369.44221876	1745585.72001227	1744451.26629026
Rps15	tr|D3YTQ9|D3YTQ9_MOUSE	2585761.56762002	2654236.68379499	2820951.02822652	2646813.58255135	2999865.47922712	3159501.82348206	2617008.23578376	1743003.73701299	1709711.36317513	1711446.58466931
Mdh2	sp|P08249|MDHM_MOUSE	88681581.3550403	93809679.66598	79464380.8735517	91745253.7144947	74414843.2672875	73746765.1405845	86868145.1738083	126743992.938236	127811995.76785	126065217.092314
Syn1	sp|O88935|SYN1_MOUSE	15946168.805791	17145135.9226112	16093582.9019116	21008194.7067462	12602380.4551401	13091143.2572438	17805618.8430441	30843628.5287734	28443927.1221797	30613666.4090878
Zfp62	sp|Q8C827|ZFP62_MOUSE	109525.61711853	100832.618750641	95459.4330042122	99991.6702935319	111494.914152637	137791.931273623	97447.2712817874	74927.0827881288	71458.2298484333	79534.6896489252
Fscn1	sp|Q61553|FSCN1_MOUSE	19391962.7684904	19163683.868649	20202464.714292	16928639.8215979	11799194.7743775	12208773.7910378	12164665.4809682	13889642.8304856	14151240.1059284	13824106.693423
Cs	sp|Q9CZU6|CISY_MOUSE	19153835.2355676	19201874.9002064	18403317.3848558	20271406.1962853	18285764.0420233	18892004.3733904	19929343.7279197	23857157.7491834	23408202.6572242	23678032.8962416
Prdx5	sp|P99029|PRDX5_MOUSE	18976639.1338934	18783197.0672872	16346947.8877804	17936883.2944159	15338123.3743703	14965726.5959248	18505807.0045423	24715311.4470621	23543444.632189	23230718.8370889
Cnp	sp|P16330|CN37_MOUSE	128176155.77803	111647896.669545	126559258.880137	90426875.80537	51940829.6748753	53882170.7973185	77802007.5339569	100514503.36417	115031751.562953	100587216.015731
Cox7a2	sp|P48771|CX7A2_MOUSE	3948904.93921705	4101751.18924384	3696949.70327857	3810556.65397519	3300806.4544197	3482294.87250613	3937922.00130279	5072092.19137153	4968034.16135657	4669019.23316472
Eef1a2	sp|P62631|EF1A2_MOUSE	42187690.6656644	42561827.5458038	44728131.1066592	41071315.6686425	39769471.4106629	41825259.2699714	41121165.893555	33588774.7497974	34708436.7035818	34168525.9872853
Ldhb	sp|P16125|LDHB_MOUSE	31322635.4344837	30966746.1609821	26842201.191677	31768181.1487918	22997243.1591572	26741313.440694	28663584.5817818	41262121.5244523	39555312.2036727	38648543.7732321
Arf5	sp|P84084|ARF5_MOUSE	8387761.62746223	8339602.76267096	8592162.50168842	9080622.9518529	7706087.12473593	8165166.97545174	8446330.47304362	10477045.8141815	10335198.0324106	10296617.3874335
Gdi1	sp|P50396|GDIA_MOUSE	9054735.19014711	9464011.88636214	8921037.66696225	9523831.36010604	6746122.17842302	7080146.58958845	8496017.14966218	11803999.3860149	11962614.5990715	11904891.9969463
Ywhab	sp|Q9CQV8|1433B_MOUSE	74609378.3669467	75211387.8674115	75560249.9426797	80467178.4041094	69790433.1827772	66783856.5763515	76640772.5763469	98826157.528568	97996612.5182241	99608453.6855691
Atp5i	sp|Q06185|ATP5I_MOUSE	2243028.30984088	2268692.9086245	2119859.07800148	2044929.64577397	2109007.82742152	1956427.97654144	2383113.24421357	2680779.86539188	3062087.58305037	2792878.00505617
Prdx6	sp|O08709|PRDX6_MOUSE	24911129.5671198	20983845.1532259	23902656.9179622	22902105.5873429	22709053.9199935	19588970.960463	24229811.1486705	19860385.4740553	19808611.576252	20349669.9244117
Prdx6	tr|Q6GT24|Q6GT24_MOUSE	24943989.8375483	21014122.4175004	23928482.6544476	22905893.8981333	22809498.2445908	19607966.5133308	24260958.3836197	19758201.2250084	19758360.9668229	20329882.0135117
Arf4	sp|P61750|ARF4_MOUSE	8999717.99531233	8729576.42599851	9168912.87191658	9380656.54577153	8476297.35136459	8899559.33794334	9131314.23455866	9550556.13938074	9738455.20783256	9655497.07556884
H2afx	sp|P27661|H2AX_MOUSE	80334350.5131626	62396459.9366575	59726247.7392296	68497439.8115989	98238913.5001551	103255454.074529	80500871.8942691	48516108.8951466	50414489.2342566	48145455.5925832
Sncb	sp|Q91ZZ3|SYUB_MOUSE	15901295.5706744	16724569.5684325	15056907.5674272	18766544.401031	12327352.7682832	13284298.5131633	16378621.6645528	27448231.4847787	26524625.7522381	27822198.0931956
Atp1a3	sp|Q6PIC6|AT1A3_MOUSE	69655165.8522431	70387258.1583435	62611823.4616484	72588629.1693084	45492190.7319244	50307859.9363184	68033594.1891687	97766851.9421425	96804617.9394786	99380880.2221996
Psma3	sp|O70435|PSA3_MOUSE	6581477.95426418	6582361.07099948	6589660.36694192	6363220.29682268	7513807.75560089	7233433.93163918	6805203.28089239	5236694.45777662	5425760.76950992	5499813.76421676
Psma3	tr|E0CX62|E0CX62_MOUSE	6607089.80725115	6685285.82927085	6843182.86973789	6317448.2196234	7727621.6291836	7478498.57083531	6895832.38452314	5142941.27426034	5441203.98121029	5362328.61451963
Cltc	sp|Q68FD5|CLH1_MOUSE	22460639.7215541	23659172.155215	22696178.3194979	25671461.5162151	20485506.315863	21459551.1618712	23588698.3925176	35458149.3533974	34135602.77885	34306227.1371053
Cltc	tr|F6Z1R4|F6Z1R4_MOUSE	13604410.2839689	14341619.0440877	13282827.2903524	14510582.3349992	12619797.4134737	12446101.4379105	13971566.8183672	20634846.7003635	19326052.2905504	20043432.4662597
Hspd1	sp|P63038|CH60_MOUSE	24933040.6770843	24682158.4639334	23986549.133542	24815355.7149811	24306464.2161976	23028079.6906418	24697326.9237087	24670416.3326754	25360832.3835057	25310777.3878674
Uchl1	sp|Q9R0P9|UCHL1_MOUSE	18507345.3893321	16246046.0389087	17618302.7708583	17518370.4841155	12383929.2150219	12400323.5361507	13934731.7490023	17556153.2019707	17818525.765763	18500308.2734171
Tagln3	sp|Q9R1Q8|TAGL3_MOUSE	8318895.68482191	7645654.37545961	7592228.78726868	8257183.61731933	6730307.49028486	6969072.69099987	7483241.75938203	10427876.5637555	10325113.6363889	10158408.9175547
Hspe1	sp|Q64433|CH10_MOUSE	14807040.2592274	15336574.4513065	14111525.1747059	15063960.6477392	13900797.4180155	13173103.2931677	14613839.6132886	16262587.2766339	16702243.8424383	16338788.7117675
Hbb-b2	sp|P02089|HBB2_MOUSE	22821103.8977296	30686578.6315554	5470939.61024605	21207086.1301926	19091114.8015759	12021124.8816215	6907874.58211138	4330334.42802256	4255437.69388601	3922724.99918747
