Kinase	PDGFRA1	PDGFRA2	PDGFRA2	PDGFRA4	NTRK1	NTRK2	NTRK3	CNTRL1	CNTRL2	CNTRL3
CSNK1A1	1.308024763	0.77395977	0.843353779	0.505336771	0.647246691	0.491152138	1.056978147	-0.095350855	-0.077187089	0.178896365
CSNK1D	-2.745812959	-1.908513911	-0.917731146	-0.12263873	-1.08953044	-0.651359318	-1.456763579	-0.281566941	0.07418836	0.165163788
CSNK2A1	0.311495316	0.069101648	0.077116933	0.203350424	-0.070327135	0.016736073	0.122259508	-0.017023312	0.085466813	-0.068810769
DAPK1	2.491575208	1.134956334	0.097650123	0.028317748	0.46764455	0.528952263	0.217427509	-0.651439512	0.309270964	0.351265272
DYRK1A	0.552605004	0.158867075	0.146545308	-0.160484202	0.553838978	0.232041551	0.413642686	0.007120309	0.187193589	-0.190665232
DYRK2	0.590084728	0.778282004	0.781967211	0.119536988	2.131332015	1.448944355	1.605518651	-0.064257943	-0.165662287	0.240386015
EEF2K	2.594651988	3.123760758	2.742201394	2.17803127	3.688352898	3.598124952	2.297146901	-0.043973939	-0.017753525	0.059479999
FYN	1.16537354	1.478591935	1.537174821	0.180289501	1.599314391	2.054072817	1.299066222	0.059257211	-0.186229717	0.092367782
GRK4	-1.080807524	0.068799042	-0.608016836	0.068207947	-1.005739785	0.73738775	-1.312610652	0.105440494	-0.127711917	0.007257908
GSK3A	0.358314559	0.179411533	0.497596169	-0.429418669	0.577048181	0.766142475	1.051737092	-0.228885731	0.117116711	-0.006561362
GSK3B	0.236962848	0.49943486	0.366933332	0.372083629	0.362225053	0.474496926	0.281522591	-0.018909461	0.015651875	-0.0116636
GTF2F1	-1.454741795	-0.962332624	-1.20753616	-1.260391424	-1.22840101	-1.163518078	-0.713786296	-0.047442005	-0.076017528	0.118993221
ICK	0.151032424	-0.069479351	0.148240406	0.49818541	-0.522803214	-0.455000644	0.128282562	-0.104825135	-0.019743808	0.116809957
INSR	2.867504855	3.820404728	5.135056312	3.718445569	7.579993375	7.32826953	5.248678106	0.269002933	-0.154095702	-0.126361233
JAK3	1.994488837	-0.390612695	0.803318482	0.478759377	-0.946816207	-1.033888265	-0.022199078	-0.176590817	0.214928621	-0.03981584
MAP2K1	0.528391022	0.373616432	0.560922581	0.913450734	2.717066491	1.804375633	1.441405244	-0.121138054	0.030561052	0.063762507
MAP2K4	2.374883774	1.866266632	1.787217822	0.871208099	2.051123421	1.436278925	2.365536078	-0.618720555	0.025797304	0.584706038
MAP2K7	2.487407927	2.66347133	2.631779528	1.844463994	3.606069146	2.757685711	2.929284944	-0.472531108	0.145481896	0.339748247
MAP3K8	2.790117572	2.724507856	1.388311782	4.085438321	2.586005789	3.298158378	2.494638501	0.036100937	0.220141742	-0.26229643
MAPK1	0.136236646	-0.031975631	0.198055866	0.232367233	0.309406331	0.280621647	0.378511951	-0.024376105	-0.021365422	0.025798346
MAPK11	0.295262069	-0.781527035	-0.32807765	-0.172296397	-2.496868474	-1.968075401	-2.1200803	0.130545497	0.192994096	-0.344422913
MAPK12	1.67552897	1.54142861	2.12073537	1.454078729	2.738917122	2.484433514	1.530867012	-0.207073331	0.015384284	0.151871057
MAPK13	1.123606764	1.127654282	1.295338611	1.239817489	1.414214196	0.616072526	1.706005071	-0.158098316	-0.212976691	0.344512192
MAPK14	0.298297118	0.227940566	0.326754626	0.058823928	0.145433803	0.084106186	0.126922343	0.022430124	-0.0379395	0.019044883
MAPK3	0.842109553	0.957355261	1.18342564	0.865667935	1.096855218	1.365859289	1.07489894	-0.236007944	0.127345394	0.05741708
MAPK7	2.051280996	2.148057141	3.45541368	2.116067625	2.046320658	2.686481734	2.470292374	-0.157965329	0.16492089	-0.03837298
MAPKAPK2	0.273267048	0.766655301	0.845471768	0.754802419	-0.219733491	0.890945113	0.811587108	0.448484749	-0.191194916	-0.273333568
MARK2	-0.217382644	0.45445898	-0.223419816	1.105738013	0.113134419	0.698883558	0.328834783	-0.028212653	0.091756074	-0.071424534
MELK	-2.85687054	-3.086026138	-2.840310564	-2.503814131	-3.68067734	-3.500277362	-2.349255112	0.568594335	-0.637996619	0.065307282
MKNK1	-0.407594173	-0.087150843	-0.416723917	-0.615911103	-0.804115375	0.162084375	0.37255256	-0.041754467	0.256522267	-0.32175896
MOS	-7.004601282	-5.20439946	-7.735908174	-6.390333225	-6.733785936	-7.731615371	-6.04427422	0.016302978	0.224100574	-0.276871646
MTOR	0.089917989	0.03837772	0.041754743	0.0956496	-0.039941737	-0.069940598	0.216020583	-0.059434317	0.009636703	0.020025939
NEK6	0.999471267	-0.969063557	0.460095903	1.120355928	1.066944374	0.187924946	0.76259753	0.956780916	-1.743428716	0.209630337
NUAK1	1.83790669	1.174679812	1.831292223	1.451983542	1.426162668	1.093727592	1.751149582	-0.048937303	-0.008980806	0.054472319
PAK1	0.297688068	0.146510691	-0.262786511	0.177565137	0.68056206	0.542141002	0.445201251	-0.070881959	0.15130531	-0.146344279
PAK3	1.525504525	1.764820739	1.26140775	0.672624522	1.350005068	1.80865336	1.851698193	-0.34483589	-0.046586731	0.338221408
PAK6	0.631642504	1.213309651	2.085705007	0.597858246	1.943500585	1.705085419	1.666102299	-0.772590088	0.169186525	0.488688362
PDPK1	0.191191391	0.10156644	0.394967081	0.403458154	0.303894844	0.343998233	0.523247159	0.137278921	-0.073109255	-0.074059128
PIK3CD	0.277542374	-0.138683275	-0.474153834	0.445558115	-0.615614457	-0.125013728	0.031473777	0.596356719	-0.042202663	-0.670923084
PLK2	1.455100795	1.902681717	1.921444289	1.637130856	2.493882397	2.630542799	2.28993209	-0.312435482	0.237804599	0.024331087
PRKAA1	1.933873182	1.732617017	1.836110947	1.807323242	2.22473283	2.298265342	1.724110262	0.030560412	-0.066733358	0.010735392
PRKAA2	2.274316877	2.078180777	2.766002518	2.15325435	3.998340584	3.941449839	3.311747446	-0.424796251	-0.013707974	0.404480607
PRKACA	0.62219471	0.660449614	0.73140059	0.614501484	1.045599078	0.969331491	1.05223915	-0.094479508	0.018686795	0.01657353
PRKCA	0.77803716	0.720752164	0.459652486	0.188437355	1.117483336	0.879855896	0.957747607	-0.151930619	0.030841778	0.098515309
PRKCD	0.505963395	0.16511723	-0.151822289	0.170338039	0.799267247	0.310295196	0.729090743	-0.236652623	0.053500787	0.182862079
PRKCE	2.050772914	2.108463486	2.561891341	0.9197326	3.496013637	2.080645284	2.401581729	-0.297024999	0.078309134	0.179879578
PRKCG	2.589548563	1.215377823	2.208939448	1.444971735	2.863494334	2.233062198	2.764336519	-0.263355454	-0.183662035	0.289364369
PRKCI	3.64354281	4.106607344	5.180503949	3.604698624	5.381889845	5.011276617	4.315251092	-0.762041404	0.227579346	0.429536959
PRKCQ	0.332469567	0.154546102	0.661452594	1.039883478	0.978387815	0.508660002	0.45258279	-0.614238104	0.347755028	0.240455302
PRKCZ	1.553852265	1.54147464	1.671219125	1.486727009	2.061408923	1.750817162	1.870762823	-0.214774822	0.139592727	0.051942338
PRKD1	1.145936623	1.106533278	0.603414297	0.369940952	0.842464628	0.605445679	1.046512141	-0.009952046	-0.021301729	0.016228257
PRKDC	-4.421881666	-4.343358765	-4.725044487	-4.177785079	-5.102039298	-5.149983637	-3.754477845	0.080483807	-0.24133756	0.158801933
PRKG2	0.502117245	0.572184711	0.675968008	0.849130278	1.00214982	0.532077372	0.933943172	-0.013155715	0.164954665	-0.174549113
ROCK1	0.305140654	0.162823727	-0.130897282	0.137265667	0.238270711	-0.218795246	0.269912852	0.207457907	-0.358296659	0.119016827
RPS6KB1	1.087946902	1.245359849	0.82287305	0.064431413	-0.10594176	-0.555061203	0.475045314	-0.109720823	-0.061596313	0.082716908
SGK1	1.225003409	1.391852232	1.659887634	1.639481492	2.213272536	2.499225511	1.928193604	0.082488163	-0.050812559	-0.054195364
SMG1	0.254021372	-0.148742566	-0.027532677	-0.300703141	-0.904604399	-1.127813895	-0.417998831	-0.104140619	0.081093335	0.017992426
SRC	0.554887971	1.015857123	0.669179673	0.80296743	0.42628802	1.049902383	0.670296558	0.040541558	0.139744518	-0.203461319
SRPK1	-0.07191161	0.016642972	0.393507054	0.220521423	-0.190122106	-0.018658176	0.134673355	-0.054846749	0.09355188	-0.04446255
STK38	2.45507236	2.539322009	2.555670624	1.98101146	4.068813749	3.668907662	2.901507844	-0.657840744	0.034214094	0.550015317
STK4	1.22685458	1.490156093	1.846376947	1.691088938	1.444789087	1.732598949	1.023501361	0.018473221	0.250900217	-0.274771562
TNIK	1.480797384	2.500718098	2.29507682	2.812611749	0.199312368	1.5006545	1.145496183	-0.579670625	0.080892404	0.469368322
TRPM7	0.815519071	1.913391491	0.272066431	0.932595648	1.9788892	2.480375696	0.728984255	-0.315929309	0.333917384	-0.01474212
UHMK1	1.254159498	1.683937189	2.113588297	2.719012571	2.132255575	2.629319905	1.606589274	-0.043430751	-0.463901775	0.464855505
ULK1	-0.096258551	-0.050840156	0.535395468	1.262371647	2.068707609	1.4444011	0.48741413	0.396025401	-0.292210479	-0.144046543
ULK3	0.968615975	1.677087684	1.721225618	1.54044599	2.790151573	2.468754052	1.599898428	-0.188011408	0.113825939	0.061116144
VRK1	0.367022618	-0.392092112	0.377454455	-0.111767572	-1.061168516	-0.619332314	-0.275227492	-0.487028571	0.051208517	0.419449587
